"caseid","xsa","xsb","xsb2","xsbc","xsbc2","xsc","za","zb","zc","zd","ze","zf","zg","school"
16,4.0,38.0,366.0,54.0,734.0,12.301382825334498,1.0,9.39426397498362,10.915088464214607,3.0,1.09464001655579,5.0,6.0,1.0
17,4.0,22.0,126.0,6.0,14.0,11.759785557802916,1.0,9.346095101815669,10.373491196683027,2.0,0.319247156381607,4.0,4.0,0.0
18,4.0,22.0,126.0,6.0,14.0,12.100712129872347,1.0,9.486018437373804,10.714417768752456,0.0,-0.571004450321198,4.0,6.0,0.0
19,4.0,38.0,366.0,54.0,734.0,11.820410192767433,1.0,9.40267891713151,10.434115831647542,2.0,1.4235692024231,7.0,8.0,1.0
20,4.0,38.0,366.0,54.0,734.0,11.820410192767433,1.0,9.369104958209698,10.434115831647542,2.0,0.741422832012177,7.0,8.0,1.0
21,4.0,38.0,366.0,54.0,734.0,11.672331037257717,1.0,9.413339196230718,10.286036676137826,0.0,0.582552969455719,5.0,4.0,1.0
22,4.0,38.0,366.0,54.0,734.0,11.877568552067185,1.0,9.400997916802787,10.491274190947294,2.0,0.641676187515259,7.0,8.0,1.0
23,4.0,38.0,366.0,54.0,734.0,11.931635787280065,1.0,9.527170694439542,10.545341426160176,1.0,0.26808226108551,4.0,4.0,1.0
24,4.0,22.0,126.0,6.0,14.0,12.611537753638338,1.0,9.396209260946106,11.225243392518447,2.0,-1.36622619628906,4.0,4.0,0.0
25,4.0,38.0,366.0,54.0,734.0,11.695247021764184,1.0,9.408555786504984,10.308952660644293,2.0,-0.0137126725167036,4.0,4.0,1.0
26,4.0,22.0,126.0,6.0,14.0,11.813351499960818,1.0,9.42362209855691,10.427057138840928,3.0,0.171100825071335,4.0,7.0,0.0
27,4.0,38.0,366.0,54.0,734.0,11.813351499960818,1.0,9.408555786504984,10.427057138840928,3.0,1.48376631736755,4.0,7.0,1.0
28,4.0,22.0,126.0,6.0,14.0,11.957611310684861,1.0,9.399568358259005,10.57131694956497,3.0,-1.5258197784423801,3.0,6.0,0.0
29,4.0,22.0,126.0,6.0,14.0,11.411999542160471,1.0,9.52778987848633,10.02570518104058,3.0,0.527227759361267,4.0,4.0,0.0
30,4.0,38.0,366.0,54.0,734.0,11.512925464970229,1.0,9.399568358259005,10.126631103850338,3.0,0.816777765750885,4.0,4.0,1.0
31,4.0,38.0,366.0,54.0,734.0,11.06663837724297,1.0,9.544513063365033,9.68034401612308,4.0,0.217736124992371,5.0,2.0,1.0
32,4.0,22.0,126.0,6.0,14.0,11.62625413324733,1.0,9.399568358259005,10.23995977212744,2.0,-0.510009586811066,3.0,3.0,0.0
33,4.0,22.0,126.0,6.0,14.0,11.685196695543755,1.0,9.544513063365033,10.298902334423865,2.0,0.399968326091766,4.0,4.0,0.0
34,4.0,38.0,366.0,54.0,734.0,11.904967565633743,1.0,9.409228872788866,10.518673204513853,3.0,0.419950753450394,4.0,2.0,1.0
35,4.0,22.0,126.0,6.0,14.0,11.728036813823486,1.0,9.42265891836296,10.341742452703595,4.0,-0.445022910833359,4.0,4.0,0.0
36,4.0,22.0,126.0,6.0,14.0,11.82231873421602,1.0,9.544513063365033,10.43602437309613,2.0,-0.741925358772278,7.0,5.0,0.0
37,4.0,22.0,126.0,6.0,14.0,11.84939770159144,1.0,9.42265891836296,10.46310334047155,1.0,-0.359531432390213,4.0,6.0,0.0
38,4.0,38.0,366.0,54.0,734.0,11.84939770159144,1.0,9.42058074262985,10.46310334047155,3.0,0.769340634346008,5.0,5.0,1.0
